DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.01.06,1077.75,1095.13,1074.89,1093.01,138043,80639263,24
2016.01.07,1093.59,1110.01,1091.33,1108.93,185177,119648301,24
2016.01.08,1108.62,1113.12,1091.78,1103.85,165997,114617793,24
2016.01.11,1107.40,1108.42,1094.20,1095.40,144178,90442854,24
2016.01.12,1095.19,1099.14,1083.41,1089.48,143643,96419261,24
2016.01.13,1087.48,1095.40,1079.71,1093.65,138239,88949537,24
2016.01.14,1093.24,1095.15,1071.33,1077.18,154005,104642604,24
2016.01.15,1078.22,1097.34,1076.20,1088.72,164366,105557122,24
2016.01.18,1090.14,1093.22,1087.47,1088.88,108815,69358458,24
2016.01.19,1089.43,1094.45,1082.45,1087.18,169169,110976991,24
2016.01.20,1087.77,1109.56,1087.52,1100.83,190135,108379635,24
2016.01.21,1100.93,1104.44,1092.36,1101.16,193393,121860775,24
2016.01.22,1101.12,1102.78,1093.97,1097.78,149487,93944959,0
2016.01.25,1097.73,1108.88,1097.13,1107.67,128236,78481640,0
2016.01.26,1108.26,1122.84,1106.91,1120.09,138683,80889441,0
2016.01.27,1119.87,1127.94,1114.81,1124.76,137199,82232433,0
2016.01.28,1125.57,1125.75,1111.49,1114.28,133401,80891601,24
2016.01.29,1115.33,1118.38,1108.32,1117.99,138404,80361159,24
2016.02.01,1115.86,1129.65,1115.86,1128.37,139905,91562792,24
2016.02.02,1128.08,1131.00,1122.25,1128.62,128083,82289988,24
2016.02.03,1128.12,1145.45,1124.33,1142.34,181192,113969209,24
2016.02.04,1141.56,1157.29,1139.51,1155.36,203585,130933765,24
2016.02.05,1155.50,1174.40,1145.15,1173.06,186487,122883656,24
2016.02.08,1168.46,1200.81,1164.23,1190.02,190763,114709290,24
2016.02.09,1190.68,1198.82,1185.59,1188.76,194216,119514134,24
2016.02.10,1189.41,1197.65,1181.40,1197.41,182466,124830695,24
2016.02.11,1196.72,1263.34,1196.72,1248.70,185283,122716349,24
2016.02.12,1247.92,1248.19,1232.37,1238.13,165315,104473238,24
2016.02.15,1232.00,1234.76,1202.13,1209.07,94178,56870970,24
2016.02.16,1209.06,1216.90,1190.80,1199.53,172139,114509478,24
2016.02.17,1202.54,1213.66,1195.60,1208.31,172778,117545105,24
2016.02.18,1208.01,1239.84,1200.64,1230.65,170619,104926585,24
2016.02.19,1231.06,1234.44,1219.87,1227.29,140207,97646710,24
2016.02.22,1224.92,1226.16,1201.83,1208.42,113870,73429722,24
2016.02.23,1209.07,1228.10,1207.10,1226.44,101351,69040308,24
2016.02.24,1227.03,1253.24,1221.76,1229.17,149975,101306697,24
2016.02.25,1226.79,1242.71,1221.04,1233.20,166869,120735622,24
2016.02.26,1232.34,1240.25,1211.39,1223.32,120019,83236496,24
2016.02.29,1218.98,1241.00,1217.23,1238.30,136668,90575658,24
2016.03.01,1239.05,1248.47,1227.10,1231.57,143242,96649736,18
2016.03.02,1231.35,1243.98,1224.68,1240.09,114608,80838856,24
2016.03.03,1241.45,1268.24,1237.34,1265.51,150269,109862019,24
2016.03.04,1262.38,1279.71,1250.43,1258.78,159469,115322874,24
2016.03.07,1259.79,1273.10,1256.65,1267.22,135619,88282054,24
2016.03.08,1266.42,1278.04,1260.15,1261.50,128480,86521306,24
2016.03.09,1261.61,1264.88,1242.91,1252.88,108836,81651700,24
2016.03.10,1252.70,1273.27,1236.99,1271.98,119537,80771463,24
2016.03.11,1269.91,1283.36,1248.16,1249.23,115894,85895528,22
2016.03.14,1251.44,1261.01,1229.30,1235.00,76556,54162083,24
2016.03.15,1235.18,1238.00,1225.60,1232.44,87463,64122909,24
2016.03.16,1232.78,1263.86,1226.64,1262.04,110458,77508996,24
2016.03.17,1259.46,1270.84,1254.33,1257.72,145518,100837753,24
2016.03.18,1258.68,1266.88,1247.78,1255.04,112531,78129727,24
2016.03.21,1254.55,1255.32,1240.54,1243.44,86977,61499206,24
2016.03.22,1243.57,1260.12,1242.31,1248.00,98128,65596365,24
2016.03.23,1247.72,1249.31,1215.31,1220.13,82257,63940529,22
2016.03.24,1222.61,1223.71,1211.95,1217.12,70495,52438295,24
2016.03.28,1214.30,1223.05,1208.15,1221.34,53591,42096245,24
2016.03.29,1220.80,1242.90,1215.24,1240.72,87832,65066849,24
2016.03.30,1241.41,1243.99,1223.18,1224.46,71663,47842857,24
2016.03.31,1225.85,1240.32,1223.75,1232.44,70316,42947893,24
2016.04.01,1231.56,1235.21,1208.93,1222.16,85293,65569708,24
2016.04.04,1220.30,1222.54,1214.56,1215.55,65611,48687168,24
2016.04.05,1215.70,1236.74,1214.69,1230.47,77987,54437385,24
2016.04.06,1230.41,1232.10,1216.64,1222.03,77187,60355884,24
2016.04.07,1222.95,1243.19,1222.64,1240.60,91066,60124538,24
2016.04.08,1239.37,1242.60,1229.54,1240.49,76674,57629628,24
2016.04.11,1244.78,1258.78,1243.93,1257.51,94207,71745412,24
2016.04.12,1256.15,1262.54,1251.11,1255.41,79903,60987893,24
2016.04.13,1255.62,1256.63,1239.71,1243.16,81251,58928278,24
2016.04.14,1242.43,1244.04,1223.77,1226.33,91796,68279584,24
2016.04.15,1227.36,1235.79,1225.20,1233.73,70227,50638608,24
2016.04.18,1234.66,1241.55,1230.04,1232.57,76137,59467127,24
2016.04.19,1231.77,1256.62,1227.66,1250.21,89050,56585005,24
2016.04.20,1249.69,1257.91,1242.34,1243.70,83005,59853599,24
2016.04.21,1243.77,1270.19,1242.78,1248.77,104691,71640523,14
2016.04.22,1247.66,1252.48,1227.32,1232.73,93741,68197412,24
2016.04.25,1232.22,1242.23,1229.94,1237.50,71029,51879825,24
2016.04.26,1237.83,1244.79,1231.27,1243.68,65550,55450744,22
